record_type,scenario_x_pp,share_change_pp,metric,value,unit,status,formula,input_sources,note
scenario,2,,2025隐含新能源车COR,0.9734436929701947,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：97.3444%｜方法：95.8%+(1−22.7815%)×2pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,3,1,每+1pct占比的整体COR拖累,0.03,pp,sensitivity,1% * x,A1,【推算：0.0300pp｜方法：1%×3pp｜输入来源：用户确认假设A1】
scenario,3,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.17621058731945696,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.1762pp｜方法：5.8737%×3pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,3,,2025隐含燃油车COR,0.951165539455292,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：95.1166%｜方法：95.8%−22.7815%×3pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,3,,2025隐含新能源车COR,0.9811655394552921,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：98.1166%｜方法：95.8%+(1−22.7815%)×3pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,4,1,每+1pct占比的整体COR拖累,0.04,pp,sensitivity,1% * x,A1,【推算：0.0400pp｜方法：1%×4pp｜输入来源：用户确认假设A1】
scenario,4,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.23494744975927595,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.2349pp｜方法：5.8737%×4pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,4,,2025隐含燃油车COR,0.9488873859403895,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：94.8887%｜方法：95.8%−22.7815%×4pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,4,,2025隐含新能源车COR,0.9888873859403894,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：98.8887%｜方法：95.8%+(1−22.7815%)×4pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5,1,每+1pct占比的整体COR拖累,0.05,pp,sensitivity,1% * x,A1,【推算：0.0500pp｜方法：1%×5pp｜输入来源：用户确认假设A1】
scenario,5,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.29368431219909497,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.2937pp｜方法：5.8737%×5pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5,,2025隐含燃油车COR,0.9466092324254868,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：94.6609%｜方法：95.8%−22.7815%×5pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5,,2025隐含新能源车COR,0.9966092324254868,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：99.6609%｜方法：95.8%+(1−22.7815%)×5pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5.44,1,每+1pct占比的整体COR拖累,0.054400000000000004,pp,sensitivity,1% * x,A1,【推算：0.0544pp｜方法：1%×5.44pp｜输入来源：用户确认假设A1】
scenario,5.44,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.3195285316726153,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.3195pp｜方法：5.8737%×5.44pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5.44,,2025隐含燃油车COR,0.9456068448789297,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：94.5607%｜方法：95.8%−22.7815%×5.44pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,5.44,,2025隐含新能源车COR,1.0000068448789297,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：100.0007%｜方法：95.8%+(1−22.7815%)×5.44pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
