sample_no,population_index,period,entity,scope,metric,csv_value,source_recheck_value,unit,result,source_file,source_page,source_table,recheck_method
20,203,2025,平安产险,责任保险,综合成本率,106.8,106.8,%,一致,中国平安_年报_2025.pdf,PDF 第56页（报告印刷页码52）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
21,214,2025,平安产险,货运保险,承保利润,207,207,人民币百万元,一致,中国平安_年报_2025.pdf,PDF 第56页（报告印刷页码52）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
22,221,2022Q1,平安产险,季度累计,净利润_YTD,3389.61,3389.61,人民币百万元,一致,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
23,252,2022Q3,平安产险,季末,综合偿付能力充足率,241.7,241.7,%,一致,平安产险_偿付能力报告_2022Q3.pdf,PDF 第15页,偿付能力充足率表,回到所列PDF原页二次OCR/目视复核
24,271,2023Q1,平安产险,季度累计,赔付率,70.17,70.17,%,一致,平安产险_偿付能力报告_2023Q1.pdf,PDF 第17页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
25,274,2023Q1,平安产险,季末,综合偿付能力充足率,211.7,211.7,%,一致,平安产险_偿付能力报告_2023Q1.pdf,PDF 第15页,偿付能力充足率表,回到所列PDF原页二次OCR/目视复核
26,289,2023Q3,平安产险,季度累计,车险签单保费_YTD,163942.32,163942.32,人民币百万元,一致,平安产险_偿付能力报告_2023Q3.pdf,PDF 第18页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
27,293,2023Q3,平安产险,季度累计,赔付率,70.75,70.75,%,一致,平安产险_偿付能力报告_2023Q3.pdf,PDF 第18页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
28,315,2024Q1,平安产险,季度累计,赔付率,71.5,71.5,%,一致,平安产险_偿付能力报告_2024Q1.pdf,PDF 第19页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
29,328,2024Q2,平安产险,季末,核心偿付能力充足率,181.9,181.9,%,一致,平安产险_偿付能力报告_2024Q2.pdf,PDF 第17页,偿付能力充足率表,回到所列PDF原页二次OCR/目视复核
30,329,2024Q2,平安产险,季末,综合偿付能力充足率,205.0,205.0,%,一致,平安产险_偿付能力报告_2024Q2.pdf,PDF 第17页,偿付能力充足率表,回到所列PDF原页二次OCR/目视复核
31,347,2024Q4,平安产险,季度累计,费用率,27.5,27.5,%,一致,平安产险_偿付能力报告_2024Q4.pdf,PDF 第19页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
32,389,2025Q4,平安产险,季度累计,非车前五险种签单保费_YTD,89187.824515,89187.824515,人民币百万元,一致,平安产险_偿付能力报告_2025Q4.pdf,PDF 第19页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
33,392,2025Q4,平安产险,季度累计,赔付率,69.8,69.8,%,一致,平安产险_偿付能力报告_2025Q4.pdf,PDF 第19页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
34,402,2026Q1,平安产险,季度累计,费用率,26.1,26.1,%,一致,平安产险_偿付能力报告_2026Q1.pdf,PDF 第18页,主要经营指标表,回到所列PDF原页二次OCR/目视复核
35,415,2023,人保财险,年度整体,保险服务费用,-431991,-431991,人民币百万元,一致,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,回到所列PDF原页二次OCR/目视复核
36,425,2024,人保财险,年度整体,综合成本率,98.8,98.8,%,一致,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,回到所列PDF原页二次OCR/目视复核
37,435,2022R,太保产险,年度整体,保险服务收入,158483,158483,人民币百万元,一致,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,回到所列PDF原页二次OCR/目视复核
38,440,2022R,太保产险,年度整体,赔付率,68.0,68.0,%,一致,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,回到所列PDF原页二次OCR/目视复核
39,444,2023,太保产险,年度整体,分出再保险净损益,-235,-235,人民币百万元,一致,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,回到所列PDF原页二次OCR/目视复核
40,446,2023,太保产险,年度整体,综合成本率,97.7,97.7,%,一致,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,回到所列PDF原页二次OCR/目视复核
41,449,2024,太保产险,年度整体,保险服务收入,191397,191397,人民币百万元,一致,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,回到所列PDF原页二次OCR/目视复核
42,452,2024,太保产险,年度整体,承保利润,2672,2672,人民币百万元,一致,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,回到所列PDF原页二次OCR/目视复核
43,461,2025,太保产险,年度整体,赔付率,70.4,70.4,%,一致,中国太保_年报_2025.pdf,PDF 第44页（报告印刷页码27）,产险业务经营指标,回到所列PDF原页二次OCR/目视复核
44,469,2022-05,中国保险业,财产险全行业累计,原保险保费收入_YTD,5188.09,5188.09,亿元,一致,监管总局_保险业经营情况表_2022-05.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,从所列官方Excel工作表与行号二次读取
45,483,2022-11,中国保险业,财产险全行业累计,简单赔付率代理值_YTD（推算）,59.5066,59.5066,%,一致,监管总局_保险业经营情况表_2022-11.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,从所列官方Excel工作表与行号二次读取
46,489,2023-01,中国保险业,财产险全行业累计,简单赔付率代理值_YTD（推算）,41.2663,41.2663,%,一致,监管总局_保险业经营情况表_2023-01.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,从所列官方Excel工作表与行号二次读取
47,493,2023-04,中国保险业,财产险全行业累计,原保险保费收入_YTD,4658.05,4658.05,亿元,一致,监管总局_保险业经营情况表_2023-04.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,从所列官方Excel工作表与行号二次读取
48,496,2023-05,中国保险业,财产险全行业累计,原保险保费收入_YTD,5723.77,5723.77,亿元,一致,监管总局_保险业经营情况表_2023-05.xls,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,从所列官方Excel工作表与行号二次读取
49,498,2023-05,中国保险业,财产险全行业累计,简单赔付率代理值_YTD（推算）,58.6851,58.6851,%,一致,监管总局_保险业经营情况表_2023-05.xls,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,从所列官方Excel工作表与行号二次读取
50,518,2024-02,中国保险业,财产险全行业累计,原保险赔付支出_YTD,1422.66,1422.66,亿元,一致,监管总局_保险业经营情况表_2024-02.xls,Excel工作表《保险业经营数据（2月度）》,第10行（财产险）,从所列官方Excel工作表与行号二次读取
51,526,2024-05,中国保险业,财产险全行业累计,原保险保费收入_YTD,5894.62,5894.62,亿元,一致,监管总局_保险业经营情况表_2024-05.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,从所列官方Excel工作表与行号二次读取
52,536,2024-08,中国保险业,财产险全行业累计,原保险赔付支出_YTD,6092.37,6092.37,亿元,一致,监管总局_保险业经营情况表_2024-08.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,从所列官方Excel工作表与行号二次读取
53,547,2025-01,中国保险业,财产险全行业累计,原保险保费收入_YTD,1582.47,1582.47,亿元,一致,监管总局_保险业经营情况表_2025-01.xls,Excel工作表《保险业经营数据（月度）1月》,第7行（财产险）,从所列官方Excel工作表与行号二次读取
54,551,2025-02,中国保险业,财产险全行业累计,原保险赔付支出_YTD,1345.8,1345.8,亿元,一致,监管总局_保险业经营情况表_2025-02.xls,Excel工作表《保险业经营数据（月度）2月》,第10行（财产险）,从所列官方Excel工作表与行号二次读取
55,552,2025-02,中国保险业,财产险全行业累计,简单赔付率代理值_YTD（推算）,55.2017,55.2017,%,一致,监管总局_保险业经营情况表_2025-02.xls,Excel工作表《保险业经营数据（月度）2月》,第10行÷第7行,从所列官方Excel工作表与行号二次读取
56,560,2025-05,中国保险业,财产险全行业累计,原保险赔付支出_YTD,3637.7,3637.7,亿元,一致,监管总局_保险业经营情况表_2025-05.xls,Excel工作表《保险业经营数据（月度）》,第11行（财产险）,从所列官方Excel工作表与行号二次读取
57,564,2025-06,中国保险业,财产险全行业累计,简单赔付率代理值_YTD（推算）,57.2601,57.2601,%,一致,监管总局_保险业经营情况表_2025-06.xls,Excel工作表《保险业经营数据（月度）》,第11行÷第8行,从所列官方Excel工作表与行号二次读取
58,565,2025-07,中国保险业,财产险全行业累计,原保险保费收入_YTD,8882.52,8882.52,亿元,一致,监管总局_保险业经营情况表_2025-07.xls,Excel工作表《保险业经营数据（月度）》,第8行（财产险）,从所列官方Excel工作表与行号二次读取
59,566,2025-07,中国保险业,财产险全行业累计,原保险赔付支出_YTD,5263.08,5263.08,亿元,一致,监管总局_保险业经营情况表_2025-07.xls,Excel工作表《保险业经营数据（月度）》,第11行（财产险）,从所列官方Excel工作表与行号二次读取
60,578,2025-11,中国保险业,财产险全行业累计,原保险赔付支出_YTD,8768.58,8768.58,亿元,一致,监管总局_保险业经营情况表_2025-11.xls,Excel工作表《保险业经营数据（月度）》,第11行（财产险）,从所列官方Excel工作表与行号二次读取
