period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2024,人保财险,年度整体,新准则,赔付率,73.0,%,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2024,人保财险,年度整体,新准则,费用率,25.8,%,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,保险服务收入,511594,人民币百万元,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,保险服务费用,-486254,人民币百万元,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,分出再保险净损益,-5175,人民币百万元,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,承保利润,12535,人民币百万元,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,综合成本率,97.5,%,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,赔付率,73.9,%,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2025,人保财险,年度整体,新准则,费用率,23.6,%,直接披露,人保财险_年报_2025.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2022R,太保产险,年度整体,新准则重述比较期,保险服务收入,158483,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2022R,太保产险,年度整体,新准则重述比较期,保险服务费用,-151229,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2022R,太保产险,年度整体,新准则重述比较期,分出再保险净损益,-103,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2022R,太保产险,年度整体,新准则重述比较期,承保利润,4908,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2022R,太保产险,年度整体,新准则重述比较期,综合成本率,96.9,%,直接披露,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,
2022R,太保产险,年度整体,新准则重述比较期,赔付率,68.0,%,直接披露,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,
2022R,太保产险,年度整体,新准则重述比较期,费用率,28.9,%,推算,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,【推算：28.9%｜方法：综合成本率96.9% - 赔付率68.0%｜输入来源：中国太保_年报_2023.pdf，PDF 第33页（报告印刷页码16），产险业务经营指标】
2023,太保产险,年度整体,新准则,保险服务收入,177128,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2023,太保产险,年度整体,新准则,保险服务费用,-170240,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2023,太保产险,年度整体,新准则,分出再保险净损益,-235,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2023,太保产险,年度整体,新准则,承保利润,4140,人民币百万元,直接披露,中国太保_年报_2023.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2023,太保产险,年度整体,新准则,综合成本率,97.7,%,直接披露,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,
2023,太保产险,年度整体,新准则,赔付率,69.1,%,直接披露,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,
2023,太保产险,年度整体,新准则,费用率,28.6,%,推算,中国太保_年报_2023.pdf,PDF 第33页（报告印刷页码16）,产险业务经营指标,【推算：28.6%｜方法：综合成本率97.7% - 赔付率69.1%｜输入来源：中国太保_年报_2023.pdf，PDF 第33页（报告印刷页码16），产险业务经营指标】
2024,太保产险,年度整体,新准则,保险服务收入,191397,人民币百万元,直接披露,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,
2024,太保产险,年度整体,新准则,保险服务费用,-184658,人民币百万元,直接披露,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,
2024,太保产险,年度整体,新准则,分出再保险净损益,-843,人民币百万元,直接披露,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,
2024,太保产险,年度整体,新准则,承保利润,2672,人民币百万元,直接披露,中国太保_年报_2024.pdf,PDF 第48页（报告印刷页码29）,承保业绩表,
2024,太保产险,年度整体,新准则,综合成本率,98.6,%,直接披露,中国太保_年报_2024.pdf,PDF 第46页（报告印刷页码27）,产险业务经营指标,
2024,太保产险,年度整体,新准则,赔付率,70.8,%,直接披露,中国太保_年报_2024.pdf,PDF 第46页（报告印刷页码27）,产险业务经营指标,
2024,太保产险,年度整体,新准则,费用率,27.8,%,直接披露,中国太保_年报_2024.pdf,PDF 第46页（报告印刷页码27）,产险业务经营指标,
2025,太保产险,年度整体,新准则,保险服务收入,197191,人民币百万元,直接披露,中国太保_年报_2025.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2025,太保产险,年度整体,新准则,保险服务费用,-189681,人民币百万元,直接披露,中国太保_年报_2025.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2025,太保产险,年度整体,新准则,分出再保险净损益,-652,人民币百万元,直接披露,中国太保_年报_2025.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2025,太保产险,年度整体,新准则,承保利润,4836,人民币百万元,直接披露,中国太保_年报_2025.pdf,PDF 第46页（报告印刷页码29）,承保业绩表,
2025,太保产险,年度整体,新准则,综合成本率,97.5,%,直接披露,中国太保_年报_2025.pdf,PDF 第44页（报告印刷页码27）,产险业务经营指标,
2025,太保产险,年度整体,新准则,赔付率,70.4,%,直接披露,中国太保_年报_2025.pdf,PDF 第44页（报告印刷页码27）,产险业务经营指标,
2025,太保产险,年度整体,新准则,费用率,27.1,%,直接披露,中国太保_年报_2025.pdf,PDF 第44页（报告印刷页码27）,产险业务经营指标,
