record_type,period,entity,metric,value,unit,status,formula,input_sources,note
年度结果,2022R,平安产险,剔除保证险后其他业务保险服务收入,265863.676726,人民币百万元,推算,整体保险服务收入294222.187667-保证险保险服务收入28358.510941,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：265863.676726人民币百万元｜方法：整体保险服务收入294222.187667-保证险保险服务收入28358.510941｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】
年度结果,2022R,平安产险,剔除保证险后其他业务承保利润,8336.134317,人民币百万元,推算,整体承保利润1081.453883-保证险承保利润(-7254.680434),平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：8336.134317人民币百万元｜方法：整体承保利润1081.453883-保证险承保利润(-7254.680434)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】
年度结果,2022R,平安产险,剔除保证险后其他业务COR,96.865,%,推算,(1-其他业务承保利润8336.134317/其他业务保险服务收入265863.676726)×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：96.865%｜方法：(1-其他业务承保利润8336.134317/其他业务保险服务收入265863.676726)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 这是其他业务独立分母口径，最接近“其他业务真实改善”。
年度输入,2023,平安产险,整体保险服务收入,313457.529726,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
年度输入,2023,平安产险,保证险保险服务收入,22002.723838,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
年度输入,2023,平安产险,保证险分部营业利润,-6834.353175,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
年度输入,2023,平安产险,保证险分部其他收益,0.133849,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
年度结果,2023,平安产险,整体承保利润,-2082.869232,人民币百万元,推算,四个保险分部营业利润合计(4855.286223+-159.017177+252.923080+-6834.353175)-四个保险分部其他收益合计(122.862529+0.003959+74.707846+0.133849),平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：-2082.869232人民币百万元｜方法：四个保险分部营业利润合计(4855.286223+-159.017177+252.923080+-6834.353175)-四个保险分部其他收益合计(122.862529+0.003959+74.707846+0.133849)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】 与集团年报披露的百万元整数承保利润勾稽，差异仅为四舍五入。
年度结果,2023,平安产险,保证险承保利润,-6834.487024,人民币百万元,推算,保证险分部营业利润-6834.353175-其他收益0.133849,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：-6834.487024人民币百万元｜方法：保证险分部营业利润-6834.353175-其他收益0.133849｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】
年度结果,2023,平安产险,整体COR_精确底数推算,100.664,%,推算,(1-整体承保利润-2082.869232/整体保险服务收入313457.529726)×100,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：100.664%｜方法：(1-整体承保利润-2082.869232/整体保险服务收入313457.529726)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 用于精确贡献测算；与集团年报一位小数披露值相符。
年度结果,2023,平安产险,保证险COR,131.062,%,推算,(1-保证险承保利润-6834.487024/保证险保险服务收入22002.723838)×100,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：131.062%｜方法：(1-保证险承保利润-6834.487024/保证险保险服务收入22002.723838)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
年度结果,2023,平安产险,保证险保险服务收入权重,7.019,%,推算,保证险保险服务收入22002.723838/整体保险服务收入313457.529726×100,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：7.019%｜方法：保证险保险服务收入22002.723838/整体保险服务收入313457.529726×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】
年度结果,2023,平安产险,保证险对整体COR的拖累_正值拖累负值增益,2.180,个百分点,推算,-保证险承保利润-6834.487024/整体保险服务收入313457.529726×100,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：2.180个百分点｜方法：-保证险承保利润-6834.487024/整体保险服务收入313457.529726×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】 等价于保证险收入权重×(保证险COR-100%)。
年度结果,2023,平安产险,剔除保证险后其他业务保险服务收入,291454.805888,人民币百万元,推算,整体保险服务收入313457.529726-保证险保险服务收入22002.723838,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：291454.805888人民币百万元｜方法：整体保险服务收入313457.529726-保证险保险服务收入22002.723838｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】
年度结果,2023,平安产险,剔除保证险后其他业务承保利润,4751.617792,人民币百万元,推算,整体承保利润-2082.869232-保证险承保利润(-6834.487024),平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,【推算：4751.617792人民币百万元｜方法：整体承保利润-2082.869232-保证险承保利润(-6834.487024)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）】
年度结果,2023,平安产险,剔除保证险后其他业务COR,98.370,%,推算,(1-其他业务承保利润4751.617792/其他业务保险服务收入291454.805888)×100,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.370%｜方法：(1-其他业务承保利润4751.617792/其他业务保险服务收入291454.805888)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 这是其他业务独立分母口径，最接近“其他业务真实改善”。
年度输入,2024,平安产险,整体保险服务收入,328146.308886,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
年度输入,2024,平安产险,保证险保险服务收入,11532.507005,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
年度输入,2024,平安产险,保证险分部营业利润,-247.854406,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
年度输入,2024,平安产险,保证险分部其他收益,0.034672,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
年度结果,2024,平安产险,整体承保利润,5463.353965,人民币百万元,推算,四个保险分部营业利润合计(4397.770028+1097.803331+465.268033+-247.854406)-四个保险分部其他收益合计(197.267158+0.038053+52.293138+0.034672),平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：5463.353965人民币百万元｜方法：四个保险分部营业利润合计(4397.770028+1097.803331+465.268033+-247.854406)-四个保险分部其他收益合计(197.267158+0.038053+52.293138+0.034672)｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】 与集团年报披露的百万元整数承保利润勾稽，差异仅为四舍五入。
年度结果,2024,平安产险,保证险承保利润,-247.889078,人民币百万元,推算,保证险分部营业利润-247.854406-其他收益0.034672,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：-247.889078人民币百万元｜方法：保证险分部营业利润-247.854406-其他收益0.034672｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】
年度结果,2024,平安产险,整体COR_精确底数推算,98.335,%,推算,(1-整体承保利润5463.353965/整体保险服务收入328146.308886)×100,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.335%｜方法：(1-整体承保利润5463.353965/整体保险服务收入328146.308886)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 用于精确贡献测算；与集团年报一位小数披露值相符。
年度结果,2024,平安产险,保证险COR,102.149,%,推算,(1-保证险承保利润-247.889078/保证险保险服务收入11532.507005)×100,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：102.149%｜方法：(1-保证险承保利润-247.889078/保证险保险服务收入11532.507005)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
年度结果,2024,平安产险,保证险保险服务收入权重,3.514,%,推算,保证险保险服务收入11532.507005/整体保险服务收入328146.308886×100,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：3.514%｜方法：保证险保险服务收入11532.507005/整体保险服务收入328146.308886×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】
年度结果,2024,平安产险,保证险对整体COR的拖累_正值拖累负值增益,0.076,个百分点,推算,-保证险承保利润-247.889078/整体保险服务收入328146.308886×100,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：0.076个百分点｜方法：-保证险承保利润-247.889078/整体保险服务收入328146.308886×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】 等价于保证险收入权重×(保证险COR-100%)。
年度结果,2024,平安产险,剔除保证险后其他业务保险服务收入,316613.801881,人民币百万元,推算,整体保险服务收入328146.308886-保证险保险服务收入11532.507005,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：316613.801881人民币百万元｜方法：整体保险服务收入328146.308886-保证险保险服务收入11532.507005｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】
年度结果,2024,平安产险,剔除保证险后其他业务承保利润,5711.243043,人民币百万元,推算,整体承保利润5463.353965-保证险承保利润(-247.889078),平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,【推算：5711.243043人民币百万元｜方法：整体承保利润5463.353965-保证险承保利润(-247.889078)｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）】
年度结果,2024,平安产险,剔除保证险后其他业务COR,98.196,%,推算,(1-其他业务承保利润5711.243043/其他业务保险服务收入316613.801881)×100,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.196%｜方法：(1-其他业务承保利润5711.243043/其他业务保险服务收入316613.801881)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 这是其他业务独立分母口径，最接近“其他业务真实改善”。
年度输入,2025,平安产险,整体保险服务收入,338912.305427,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
年度输入,2025,平安产险,保证险保险服务收入,4415.533885,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
年度输入,2025,平安产险,保证险分部营业利润,2094.629644,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
年度输入,2025,平安产险,保证险分部其他收益,0.022190,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
年度结果,2025,平安产险,整体承保利润,10716.984286,人民币百万元,推算,四个保险分部营业利润合计(9697.115678+188.643174+-1004.709604+2094.629644)-四个保险分部其他收益合计(200.736847+0.018383+57.917186+0.022190),平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：10716.984286人民币百万元｜方法：四个保险分部营业利润合计(9697.115678+188.643174+-1004.709604+2094.629644)-四个保险分部其他收益合计(200.736847+0.018383+57.917186+0.022190)｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】 与集团年报披露的百万元整数承保利润勾稽，差异仅为四舍五入。
年度结果,2025,平安产险,保证险承保利润,2094.607454,人民币百万元,推算,保证险分部营业利润2094.629644-其他收益0.022190,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：2094.607454人民币百万元｜方法：保证险分部营业利润2094.629644-其他收益0.022190｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
年度结果,2025,平安产险,整体COR_精确底数推算,96.838,%,推算,(1-整体承保利润10716.984286/整体保险服务收入338912.305427)×100,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：96.838%｜方法：(1-整体承保利润10716.984286/整体保险服务收入338912.305427)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 用于精确贡献测算；与集团年报一位小数披露值相符。
年度结果,2025,平安产险,保证险COR,52.563,%,推算,(1-保证险承保利润2094.607454/保证险保险服务收入4415.533885)×100,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：52.563%｜方法：(1-保证险承保利润2094.607454/保证险保险服务收入4415.533885)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
年度结果,2025,平安产险,保证险保险服务收入权重,1.303,%,推算,保证险保险服务收入4415.533885/整体保险服务收入338912.305427×100,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：1.303%｜方法：保证险保险服务收入4415.533885/整体保险服务收入338912.305427×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
年度结果,2025,平安产险,保证险对整体COR的拖累_正值拖累负值增益,-0.618,个百分点,推算,-保证险承保利润2094.607454/整体保险服务收入338912.305427×100,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：-0.618个百分点｜方法：-保证险承保利润2094.607454/整体保险服务收入338912.305427×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】 等价于保证险收入权重×(保证险COR-100%)。
年度结果,2025,平安产险,剔除保证险后其他业务保险服务收入,334496.771542,人民币百万元,推算,整体保险服务收入338912.305427-保证险保险服务收入4415.533885,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：334496.771542人民币百万元｜方法：整体保险服务收入338912.305427-保证险保险服务收入4415.533885｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
年度结果,2025,平安产险,剔除保证险后其他业务承保利润,8622.376832,人民币百万元,推算,整体承保利润10716.984286-保证险承保利润(2094.607454),平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,【推算：8622.376832人民币百万元｜方法：整体承保利润10716.984286-保证险承保利润(2094.607454)｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）】
年度结果,2025,平安产险,剔除保证险后其他业务COR,97.422,%,推算,(1-其他业务承保利润8622.376832/其他业务保险服务收入334496.771542)×100,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：97.422%｜方法：(1-其他业务承保利润8622.376832/其他业务保险服务收入334496.771542)×100｜输入来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 这是其他业务独立分母口径，最接近“其他业务真实改善”。
期间贡献,2022R→2023,平安产险,整体COR改善,-1.032046,个百分点,推算,2022R整体COR99.632436%-2023整体COR100.664482%,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-1.032046个百分点｜方法：2022R整体COR99.632436%-2023整体COR100.664482%｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 正值为改善，负值为恶化。
期间贡献,2022R→2023,平安产险,保证险贡献的整体COR改善,0.285360,个百分点,推算,2022R保证险整体拖累2.465715-2023保证险整体拖累(2.180355),平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：0.285360个百分点｜方法：2022R保证险整体拖累2.465715-2023保证险整体拖累(2.180355)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
期间贡献,2022R→2023,平安产险,保证险占整体COR改善份额,-27.650,%,推算,保证险贡献0.285360/整体COR改善-1.032046×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-27.650%｜方法：保证险贡献0.285360/整体COR改善-1.032046×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 当整体COR恶化时，该比例只表示方向相反的抵消关系，不解释为改善份额。
期间贡献,2022R→2023,平安产险,扣除保证险后的其他业务贡献_整体分母,-1.317406,个百分点,推算,整体COR改善-1.032046-保证险贡献0.285360,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-1.317406个百分点｜方法：整体COR改善-1.032046-保证险贡献0.285360｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 可与保证险贡献加总勾稽整体；受整体收入分母和业务结构变化影响。
期间贡献,2022R→2023,平安产险,其他业务COR独立改善,-1.505182,个百分点,推算,2022R其他业务COR96.864508%-2023其他业务COR98.369690%,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-1.505182个百分点｜方法：2022R其他业务COR96.864508%-2023其他业务COR98.369690%｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 使用剔除保证险后的独立收入分母，最接近其他业务自身表现。
结构效率拆分,2022R→2023,平安产险,保证险盈利率变化效应_Shapley,-0.456423,个百分点,推算,[(起点保证险COR-100)-(终点保证险COR-100)]×(起终点收入权重均值),平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-0.456423个百分点｜方法：[(起点保证险COR-100)-(终点保证险COR-100)]×(起终点收入权重均值)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 与权重变化效应对半分配交叉项；两项之和等于保证险贡献。
