record_type,period,scope,metric,value,unit,status,formula,input_sources,note
derived,2023,意健险,承保利润,-159.021136,人民币百万元,推算,意健险分部营业利润−其他收益,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-159.021136人民币百万元｜方法：意健险分部营业利润−其他收益｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,意健险,综合成本率,100.72682086018557,%,推算,(1−意健险承保利润/意健险保险服务收入)×100,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：100.726821%｜方法：(1−意健险承保利润/意健险保险服务收入)×100｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,其他财产险,保险服务收入,60037.80588799997,人民币百万元,推算,整体收入−车险−意健险−保证险,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：60037.805888人民币百万元｜方法：整体收入−车险−意健险−保证险｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,其他财产险,承保利润,178.215234,人民币百万元,推算,其他财产险分部营业利润−其他收益,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：178.215234人民币百万元｜方法：其他财产险分部营业利润−其他收益｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,其他财产险,综合成本率,99.70316164729194,%,推算,(1−其他财产险承保利润/其他财产险收入)×100,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：99.703162%｜方法：(1−其他财产险承保利润/其他财产险收入)×100｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,核心非车_剔除保证险,保险服务收入,81916.80588799997,人民币百万元,推算,意健险收入+其他财产险收入,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：81916.805888人民币百万元｜方法：意健险收入+其他财产险收入｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,核心非车_剔除保证险,承保利润,19.194097999999997,人民币百万元,推算,意健险利润+其他财产险利润,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：19.194098人民币百万元｜方法：意健险利润+其他财产险利润｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,核心非车_剔除保证险,综合成本率,99.97656879099236,%,推算,(1−核心非车利润/核心非车收入)×100,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：99.976569%｜方法：(1−核心非车利润/核心非车收入)×100｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
input,2024,整体,保险服务收入,328146.308886,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
input,2024,车险,保险服务收入,220026,人民币百万元,直接披露,直接读取,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表
input,2024,保证险,保险服务收入,11532.507005,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）
input,2024,责任险,保险服务收入,23978,人民币百万元,直接披露,直接读取,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表
input,2024,责任险,承保利润,-644,人民币百万元,直接披露,直接读取,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表
input,2024,责任险,综合成本率,102.69999999999999,%,直接披露,直接读取,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表
derived,2024,整体,承保利润,5463.353965,人民币百万元,推算,四分部营业利润合计−四分部其他收益合计,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：5463.353965人民币百万元｜方法：四分部营业利润合计−四分部其他收益合计｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,整体,综合成本率,98.33508596103148,%,推算,(1−整体承保利润/整体保险服务收入)×100,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.335086%｜方法：(1−整体承保利润/整体保险服务收入)×100｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,车险,承保利润,4200.50287,人民币百万元,推算,车险分部营业利润−车险其他收益,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：4200.502870人民币百万元｜方法：车险分部营业利润−车险其他收益｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,车险,综合成本率,98.09090613382054,%,推算,(1−车险承保利润/车险保险服务收入)×100,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.090906%｜方法：(1−车险承保利润/车险保险服务收入)×100｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,意健险,保险服务收入,26188,人民币百万元,推算,健康险收入+意外险收入,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：26188.000000人民币百万元｜方法：健康险收入+意外险收入｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,意健险,承保利润,1097.765278,人民币百万元,推算,意健险分部营业利润−其他收益,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：1097.765278人民币百万元｜方法：意健险分部营业利润−其他收益｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,意健险,综合成本率,95.80813625324576,%,推算,(1−意健险承保利润/意健险保险服务收入)×100,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：95.808136%｜方法：(1−意健险承保利润/意健险保险服务收入)×100｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,其他财产险,保险服务收入,70399.80188100002,人民币百万元,推算,整体收入−车险−意健险−保证险,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：70399.801881人民币百万元｜方法：整体收入−车险−意健险−保证险｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,其他财产险,承保利润,412.974895,人民币百万元,推算,其他财产险分部营业利润−其他收益,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：412.974895人民币百万元｜方法：其他财产险分部营业利润−其他收益｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,其他财产险,综合成本率,99.41338628239598,%,推算,(1−其他财产险承保利润/其他财产险收入)×100,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：99.413386%｜方法：(1−其他财产险承保利润/其他财产险收入)×100｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,核心非车_剔除保证险,保险服务收入,96587.80188100002,人民币百万元,推算,意健险收入+其他财产险收入,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：96587.801881人民币百万元｜方法：意健险收入+其他财产险收入｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,核心非车_剔除保证险,承保利润,1510.7401730000001,人民币百万元,推算,意健险利润+其他财产险利润,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：1510.740173人民币百万元｜方法：意健险利润+其他财产险利润｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2024,核心非车_剔除保证险,综合成本率,98.43588927009512,%,推算,(1−核心非车利润/核心非车收入)×100,中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：98.435889%｜方法：(1−核心非车利润/核心非车收入)×100｜输入来源：中国平安_年报_2024.pdf，PDF第45页（报告印刷页码41），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第119页，分部报告（2024年度比较数）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
input,2025,整体,保险服务收入,338912.305427,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
input,2025,车险,保险服务收入,228495,人民币百万元,直接披露,直接读取,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表
input,2025,保证险,保险服务收入,4415.533885,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）,直接披露；来源：平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）
input,2025,责任险,保险服务收入,24052,人民币百万元,直接披露,直接读取,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表
input,2025,责任险,承保利润,-1642,人民币百万元,直接披露,直接读取,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表
input,2025,责任险,综合成本率,106.80000000000001,%,直接披露,直接读取,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表
derived,2025,整体,承保利润,10716.984285999999,人民币百万元,推算,四分部营业利润合计−四分部其他收益合计,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：10716.984286人民币百万元｜方法：四分部营业利润合计−四分部其他收益合计｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,整体,综合成本率,96.8378296938798,%,推算,(1−整体承保利润/整体保险服务收入)×100,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：96.837830%｜方法：(1−整体承保利润/整体保险服务收入)×100｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,车险,承保利润,9496.378831,人民币百万元,推算,车险分部营业利润−车险其他收益,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：9496.378831人民币百万元｜方法：车险分部营业利润−车险其他收益｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,车险,综合成本率,95.84394458040657,%,推算,(1−车险承保利润/车险保险服务收入)×100,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：95.843945%｜方法：(1−车险承保利润/车险保险服务收入)×100｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,意健险,保险服务收入,32769,人民币百万元,推算,直接合并披露,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：32769.000000人民币百万元｜方法：直接合并披露｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,意健险,承保利润,188.624791,人民币百万元,推算,意健险分部营业利润−其他收益,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：188.624791人民币百万元｜方法：意健险分部营业利润−其他收益｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,意健险,综合成本率,99.42438038695109,%,推算,(1−意健险承保利润/意健险保险服务收入)×100,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：99.424380%｜方法：(1−意健险承保利润/意健险保险服务收入)×100｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2025,其他财产险,保险服务收入,73232.77154199999,人民币百万元,推算,整体收入−车险−意健险−保证险,中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：73232.771542人民币百万元｜方法：整体收入−车险−意健险−保证险｜输入来源：中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），按险种划分的经营业绩表；平安产险_年度信息披露报告_2025.pdf，PDF第117页，分部报告（2025年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
