period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022-06,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,3502.61,亿元,直接披露,监管总局_保险业经营情况表_2022-06.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-06,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,53.3408,%,推算,监管总局_保险业经营情况表_2022-06.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：53.3408%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-06.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-07,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,7578.6,亿元,直接披露,监管总局_保险业经营情况表_2022-07.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-07,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,4149.3,亿元,直接披露,监管总局_保险业经营情况表_2022-07.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-07,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,54.7502,%,推算,监管总局_保险业经营情况表_2022-07.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：54.7502%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-07.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-09,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,9653.78,亿元,直接披露,监管总局_保险业经营情况表_2022-09.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-09,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,5490.77,亿元,直接披露,监管总局_保险业经营情况表_2022-09.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-09,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,56.8769,%,推算,监管总局_保险业经营情况表_2022-09.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：56.8769%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-09.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-11,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,11545.55,亿元,直接披露,监管总局_保险业经营情况表_2022-11.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-11,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,6870.37,亿元,直接披露,监管总局_保险业经营情况表_2022-11.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-11,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,59.5066,%,推算,监管总局_保险业经营情况表_2022-11.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：59.5066%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-11.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-12,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,12712.38,亿元,直接披露,监管总局_保险业经营情况表_2022-12.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-12,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,7756.95,亿元,直接披露,监管总局_保险业经营情况表_2022-12.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-12,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,61.0189,%,推算,监管总局_保险业经营情况表_2022-12.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：61.0189%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-12.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2023-01,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,1438.34,亿元,直接披露,监管总局_保险业经营情况表_2023-01.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-01,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,593.55,亿元,直接披露,监管总局_保险业经营情况表_2023-01.xlsx,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-01,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,41.2663,%,推算,监管总局_保险业经营情况表_2023-01.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：41.2663%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-01.xlsx，工作表《保险业经营数据（月度）》第9行与第6行】
2023-03,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,3594.66,亿元,直接披露,监管总局_保险业经营情况表_2023-03.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-03,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,1978.73,亿元,直接披露,监管总局_保险业经营情况表_2023-03.xlsx,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-03,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,55.0464,%,推算,监管总局_保险业经营情况表_2023-03.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：55.0464%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-03.xlsx，工作表《保险业经营数据（月度）》第9行与第6行】
2023-04,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,4658.05,亿元,直接披露,监管总局_保险业经营情况表_2023-04.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-04,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,2656.14,亿元,直接披露,监管总局_保险业经营情况表_2023-04.xlsx,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-04,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,57.0226,%,推算,监管总局_保险业经营情况表_2023-04.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：57.0226%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-04.xlsx，工作表《保险业经营数据（月度）》第9行与第6行】
2023-05,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,5723.77,亿元,直接披露,监管总局_保险业经营情况表_2023-05.xls,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-05,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,3359.0,亿元,直接披露,监管总局_保险业经营情况表_2023-05.xls,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-05,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,58.6851,%,推算,监管总局_保险业经营情况表_2023-05.xls,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：58.6851%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-05.xls，工作表《保险业经营数据（月度）》第9行与第6行】
2023-06,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,7206.17,亿元,直接披露,监管总局_保险业经营情况表_2023-06.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-06,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,4103.07,亿元,直接披露,监管总局_保险业经营情况表_2023-06.xlsx,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-06,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,56.9383,%,推算,监管总局_保险业经营情况表_2023-06.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：56.9383%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-06.xlsx，工作表《保险业经营数据（月度）》第9行与第6行】
2023-07,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,8232.48,亿元,直接披露,监管总局_保险业经营情况表_2023-07.xls,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-07,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,4842.79,亿元,直接披露,监管总局_保险业经营情况表_2023-07.xls,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-07,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,58.8254,%,推算,监管总局_保险业经营情况表_2023-07.xls,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：58.8254%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-07.xls，工作表《保险业经营数据（月度）》第9行与第6行】
2023-09,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,10411.77,亿元,直接披露,监管总局_保险业经营情况表_2023-09.xlsx,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-09,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,6472.57,亿元,直接披露,监管总局_保险业经营情况表_2023-09.xlsx,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-09,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,62.1659,%,推算,监管总局_保险业经营情况表_2023-09.xlsx,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：62.1659%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-09.xlsx，工作表《保险业经营数据（月度）》第9行与第6行】
2023-10,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,11366.02,亿元,直接披露,监管总局_保险业经营情况表_2023-10.xls,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-10,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,7234.41,亿元,直接披露,监管总局_保险业经营情况表_2023-10.xls,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-10,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,63.6495,%,推算,监管总局_保险业经营情况表_2023-10.xls,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：63.6495%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-10.xls，工作表《保险业经营数据（月度）》第9行与第6行】
2023-11,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,12411.77,亿元,直接披露,监管总局_保险业经营情况表_2023-11.xls,Excel工作表《保险业经营数据（月度）》,第6行（财产险）,原表单位亿元。
2023-11,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,8141.95,亿元,直接披露,监管总局_保险业经营情况表_2023-11.xls,Excel工作表《保险业经营数据（月度）》,第9行（财产险）,原表单位亿元。
2023-11,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,65.5986,%,推算,监管总局_保险业经营情况表_2023-11.xls,Excel工作表《保险业经营数据（月度）》,第9行÷第6行,【推算：65.5986%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2023-11.xls，工作表《保险业经营数据（月度）》第9行与第6行】
2024-01,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,1525.79,亿元,直接披露,监管总局_保险业经营情况表_2024-01.xls,Excel工作表《保险业经营数据（1月度）》,第7行（财产险）,原表单位亿元。
2024-01,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,841.67,亿元,直接披露,监管总局_保险业经营情况表_2024-01.xls,Excel工作表《保险业经营数据（1月度）》,第10行（财产险）,原表单位亿元。
2024-01,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,55.1629,%,推算,监管总局_保险业经营情况表_2024-01.xls,Excel工作表《保险业经营数据（1月度）》,第10行÷第7行,【推算：55.1629%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-01.xls，工作表《保险业经营数据（1月度）》第10行与第7行】
2024-02,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,2334.75,亿元,直接披露,监管总局_保险业经营情况表_2024-02.xls,Excel工作表《保险业经营数据（2月度）》,第7行（财产险）,原表单位亿元。
2024-02,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,1422.66,亿元,直接披露,监管总局_保险业经营情况表_2024-02.xls,Excel工作表《保险业经营数据（2月度）》,第10行（财产险）,原表单位亿元。
2024-02,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,60.9341,%,推算,监管总局_保险业经营情况表_2024-02.xls,Excel工作表《保险业经营数据（2月度）》,第10行÷第7行,【推算：60.9341%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-02.xls，工作表《保险业经营数据（2月度）》第10行与第7行】
2024-03,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,3709.53,亿元,直接披露,监管总局_保险业经营情况表_2024-03.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-03,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,2196.98,亿元,直接披露,监管总局_保险业经营情况表_2024-03.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-03,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,59.2253,%,推算,监管总局_保险业经营情况表_2024-03.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：59.2253%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-03.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-04,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,4792.39,亿元,直接披露,监管总局_保险业经营情况表_2024-04.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-04,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,3002.14,亿元,直接披露,监管总局_保险业经营情况表_2024-04.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-04,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,62.6439,%,推算,监管总局_保险业经营情况表_2024-04.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：62.6439%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-04.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-05,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,5894.62,亿元,直接披露,监管总局_保险业经营情况表_2024-05.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-05,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,3751.76,亿元,直接披露,监管总局_保险业经营情况表_2024-05.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-05,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,63.6472,%,推算,监管总局_保险业经营情况表_2024-05.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：63.6472%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-05.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-06,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,7442.35,亿元,直接披露,监管总局_保险业经营情况表_2024-06.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-06,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,4499.68,亿元,直接披露,监管总局_保险业经营情况表_2024-06.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-06,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,60.4605,%,推算,监管总局_保险业经营情况表_2024-06.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：60.4605%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-06.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-07,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,8544.63,亿元,直接披露,监管总局_保险业经营情况表_2024-07.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-07,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,5314.78,亿元,直接披露,监管总局_保险业经营情况表_2024-07.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-07,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,62.2002,%,推算,监管总局_保险业经营情况表_2024-07.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：62.2002%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-07.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-08,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,9647.64,亿元,直接披露,监管总局_保险业经营情况表_2024-08.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-08,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,6092.37,亿元,直接披露,监管总局_保险业经营情况表_2024-08.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-08,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,63.1488,%,推算,监管总局_保险业经营情况表_2024-08.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：63.1488%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-08.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-10,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,11989.76,亿元,直接披露,监管总局_保险业经营情况表_2024-10.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-10,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,7777.3,亿元,直接披露,监管总局_保险业经营情况表_2024-10.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-10,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,64.8662,%,推算,监管总局_保险业经营情况表_2024-10.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：64.8662%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-10.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-11,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,13098.32,亿元,直接披露,监管总局_保险业经营情况表_2024-11.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-11,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,8700.8,亿元,直接披露,监管总局_保险业经营情况表_2024-11.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-11,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,66.4268,%,推算,监管总局_保险业经营情况表_2024-11.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：66.4268%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-11.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2024-12,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,14330.59,亿元,直接披露,监管总局_保险业经营情况表_2024-12.xls,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2024-12,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,9810.07,亿元,直接披露,监管总局_保险业经营情况表_2024-12.xls,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2024-12,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,68.4555,%,推算,监管总局_保险业经营情况表_2024-12.xls,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：68.4555%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2024-12.xls，工作表《保险业经营数据（月度）》第10行与第7行】
2025-01,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,1582.47,亿元,直接披露,监管总局_保险业经营情况表_2025-01.xls,Excel工作表《保险业经营数据（月度）1月》,第7行（财产险）,原表单位亿元。
2025-01,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,775.06,亿元,直接披露,监管总局_保险业经营情况表_2025-01.xls,Excel工作表《保险业经营数据（月度）1月》,第10行（财产险）,原表单位亿元。
2025-01,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,48.9779,%,推算,监管总局_保险业经营情况表_2025-01.xls,Excel工作表《保险业经营数据（月度）1月》,第10行÷第7行,【推算：48.9779%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2025-01.xls，工作表《保险业经营数据（月度）1月》第10行与第7行】
2025-02,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,2437.97,亿元,直接披露,监管总局_保险业经营情况表_2025-02.xls,Excel工作表《保险业经营数据（月度）2月》,第7行（财产险）,原表单位亿元。
2025-02,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,1345.8,亿元,直接披露,监管总局_保险业经营情况表_2025-02.xls,Excel工作表《保险业经营数据（月度）2月》,第10行（财产险）,原表单位亿元。
2025-02,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,55.2017,%,推算,监管总局_保险业经营情况表_2025-02.xls,Excel工作表《保险业经营数据（月度）2月》,第10行÷第7行,【推算：55.2017%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2025-02.xls，工作表《保险业经营数据（月度）2月》第10行与第7行】
2025-03,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,3867.0,亿元,直接披露,监管总局_保险业经营情况表_2025-03.xlsx,Excel工作表《保险业经营数据（月度）》,第7行（财产险）,原表单位亿元。
2025-03,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,2124.55,亿元,直接披露,监管总局_保险业经营情况表_2025-03.xlsx,Excel工作表《保险业经营数据（月度）》,第10行（财产险）,原表单位亿元。
2025-03,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,54.9405,%,推算,监管总局_保险业经营情况表_2025-03.xlsx,Excel工作表《保险业经营数据（月度）》,第10行÷第7行,【推算：54.9405%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2025-03.xlsx，工作表《保险业经营数据（月度）》第10行与第7行】
2025-04,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,4988.9,亿元,直接披露,监管总局_保险业经营情况表_2025-04.xls,Excel工作表《保险业经营数据（月度）》,第8行（财产险）,原表单位亿元。
2025-04,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,2903.8,亿元,直接披露,监管总局_保险业经营情况表_2025-04.xls,Excel工作表《保险业经营数据（月度）》,第11行（财产险）,原表单位亿元。
2025-04,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,58.2052,%,推算,监管总局_保险业经营情况表_2025-04.xls,Excel工作表《保险业经营数据（月度）》,第11行÷第8行,【推算：58.2052%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2025-04.xls，工作表《保险业经营数据（月度）》第11行与第8行】
