period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2024,平安产险,年度整体,新准则,保险服务收入,328146,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,保险服务费用,-314356,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,分出再保险净损益,-2531,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,承保财务及其他损益,-5796,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,承保利润,5463,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,综合成本率,98.3,%,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,费用率,27.3,%,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,赔付率,71.0,%,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,总投资收益,16125,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,税前利润,18481,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,净利润,15021,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2024,平安产险,年度整体,新准则,营运利润,15021,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,保险服务收入,338912,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,保险服务费用,-320380,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,分出再保险净损益,-4014,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,承保财务及其他损益,-3801,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,承保利润,10717,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,综合成本率,96.8,%,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,费用率,26.4,%,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,赔付率,70.4,%,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,总投资收益,11927,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,税前利润,18797,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,净利润,14597,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2025,平安产险,年度整体,新准则,营运利润,17000,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,
2022,平安产险,年末偿付能力,旧准则（未重述）,核心偿付能力充足率,177.6,%,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,
2022,平安产险,年末偿付能力,旧准则（未重述）,综合偿付能力充足率,220.0,%,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,
2022,平安产险,年末偿付能力,旧准则（未重述）,核心资本,101193,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,
2022,平安产险,年末偿付能力,旧准则（未重述）,实际资本,125337,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,
2022,平安产险,年末偿付能力,旧准则（未重述）,最低资本,56976,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,
2024,平安产险,年末偿付能力,新准则,核心偿付能力充足率,171.3,%,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,偿付能力数据表,
2024,平安产险,年末偿付能力,新准则,综合偿付能力充足率,205.3,%,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,偿付能力数据表,
2024,平安产险,年末偿付能力,新准则,核心资本,115692,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,偿付能力数据表,
2024,平安产险,年末偿付能力,新准则,实际资本,138649,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,偿付能力数据表,
2024,平安产险,年末偿付能力,新准则,最低资本,67536,人民币百万元,直接披露,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,偿付能力数据表,
2025,平安产险,年末偿付能力,新准则,核心偿付能力充足率,173.5,%,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,
2025,平安产险,年末偿付能力,新准则,综合偿付能力充足率,217.1,%,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,
2025,平安产险,年末偿付能力,新准则,核心资本,126310,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,
2025,平安产险,年末偿付能力,新准则,实际资本,158098,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,
2025,平安产险,年末偿付能力,新准则,最低资本,72810,人民币百万元,直接披露,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,
