文件名,类别,字节数,sha256
监管总局_保险业经营情况表_2022-07.xlsx,金融监管总局月度经营数据,11824,0123902199fc3fde37d5ca858528310c6721cd0f1bef5e14414a58ad31323bbe
监管总局_保险业经营情况表_2022-08.xlsx,金融监管总局月度经营数据,16693,554f7a09d0b09fc7ec10cab7e05956cd213d472fa32c802daa69e75432304bec
监管总局_保险业经营情况表_2022-09.xlsx,金融监管总局月度经营数据,11831,93c59bac4b6a10c3074a50d5a0b96033902d2884b9b350d15b868620e55134a9
监管总局_保险业经营情况表_2022-10.xlsx,金融监管总局月度经营数据,13818,cdefd86a4b380913ebe54b8965c0ea992416d6057ec2bf00f8a906122031404d
监管总局_保险业经营情况表_2022-11.xlsx,金融监管总局月度经营数据,11807,369ffd0ab25aaed8d6391526aaaa7f864bdfa5dca10734803e280ed14f6c6e2b
监管总局_保险业经营情况表_2022-12.xlsx,金融监管总局月度经营数据,11835,e541320c3cb6484d9ffb8f2baad8897397148d04873ad1bf0ecc66097bff4d89
监管总局_保险业经营情况表_2023-01.xlsx,金融监管总局月度经营数据,11348,46f62e06e0a5a59dab8a5fd97e89233726136e6ad6fb4950b91eb4940e4f0143
监管总局_保险业经营情况表_2023-02.xlsx,金融监管总局月度经营数据,16015,8daf89a9f21a2cda5b182acc32d69fd854cc15e0736a64f6b71935f0e685ece9
监管总局_保险业经营情况表_2023-03.xlsx,金融监管总局月度经营数据,11322,b47a8954e72a82ab549096ee94a8483e544deca3174bff6962594fb0d93af491
监管总局_保险业经营情况表_2023-04.xlsx,金融监管总局月度经营数据,11316,931a6bd1173fa692803a361599b3d888edca3af041128d730e139c0901180f15
监管总局_保险业经营情况表_2023-05.xls,金融监管总局月度经营数据,10752,7071d96919eed5249f60708c3bb718737b2a8cca0e3d6db7b26975e9a01611cb
监管总局_保险业经营情况表_2023-06.xlsx,金融监管总局月度经营数据,11358,42e63fbaf9811325dbc23f121f6d01e650e18e28131f540d48b9b5c12f5d5444
监管总局_保险业经营情况表_2023-07.xls,金融监管总局月度经营数据,23040,72483ce9841ee8012d15eb4fe00746b4568e44760bb322b587637c513ed19845
监管总局_保险业经营情况表_2023-08.xlsx,金融监管总局月度经营数据,15897,78017104516471efbaef17335033834b99486c9abb98d47d9b76fdec871d9a19
监管总局_保险业经营情况表_2023-09.xlsx,金融监管总局月度经营数据,11357,574148038dba9d196e121a2b4c984b53c8d62df4a3d9c3fa009e2cff266b1c09
监管总局_保险业经营情况表_2023-10.xls,金融监管总局月度经营数据,22016,53ba60bb8aa2106bbf34edd517841f0df333f684482e29fa27c40e616eed937a
监管总局_保险业经营情况表_2023-11.xls,金融监管总局月度经营数据,23040,b0ed7028d71ca3bf1106eb90ff72b4039a2a4143a57dc23f997d300c09dfdebb
监管总局_保险业经营情况表_2023-12.xlsx,金融监管总局月度经营数据,16092,f12812e71678854ba844c38dd48f24c1ef05bb46923b9410f53063208257487d
监管总局_保险业经营情况表_2024-01.xls,金融监管总局月度经营数据,18432,a1ac828fef9c9dc5dfe45597e033bf472cf4d9763460b2933a922c3a63eef226
监管总局_保险业经营情况表_2024-02.xls,金融监管总局月度经营数据,21504,f484b5e7744c68674b9338ee33677c0a74cdc5b3d81716620c97f0dfb0e8c58a
监管总局_保险业经营情况表_2024-03.xls,金融监管总局月度经营数据,18432,61637210b00c13f378d64a406e8eaca3c6aa7e0adeb18d487574e19e7606f115
监管总局_保险业经营情况表_2024-04.xls,金融监管总局月度经营数据,22528,84de32343284500ac8fc21ce4ff24774f1e9a118bae12cef415f8eb5c49d0c9e
监管总局_保险业经营情况表_2024-05.xls,金融监管总局月度经营数据,18432,3060410fbf05de654723dd444161a05fc204186608ab57955fcf2dcdd8bc53df
监管总局_保险业经营情况表_2024-06.xls,金融监管总局月度经营数据,18432,bd48bc3b62482e0cea334351d513d1e5c39c4bb7207c5044a9afc90bb3cc4c69
监管总局_保险业经营情况表_2024-07.xls,金融监管总局月度经营数据,18432,df389706c8b89d4ac5bcfb3ae96bedae8f65f54a9795d25c430debf57a36d2fa
监管总局_保险业经营情况表_2024-08.xls,金融监管总局月度经营数据,21504,327a860fd3c2596db3e5ac04681035bfa551a25e1bac48c02c9e16d04fdc819f
监管总局_保险业经营情况表_2024-09.xlsx,金融监管总局月度经营数据,16291,be0d2542e81e1b24102239b8464cef831bc361dacd4d502a33becbad8aae65d4
监管总局_保险业经营情况表_2024-10.xls,金融监管总局月度经营数据,18432,1dbee3bbf1a1fed92c8cd433197ad95af37288ea22f4d9bc57225792759ded58
监管总局_保险业经营情况表_2024-11.xls,金融监管总局月度经营数据,18432,4508743de2d2d7fc75f3afc305c362fb2b2d2c19d42312e9912fd31c4e6dc13f
监管总局_保险业经营情况表_2024-12.xls,金融监管总局月度经营数据,18432,c53dd0181903210c2816b978a95b530705280035f4e24152e706c7aa70a98306
监管总局_保险业经营情况表_2025-01.xls,金融监管总局月度经营数据,22016,b3e9a6633edfa5c2a0c1f228782544056e8d69f040fa88829e41ea9807e1eadf
监管总局_保险业经营情况表_2025-02.xls,金融监管总局月度经营数据,22016,b213b45bf129fa961027868a32861c2444d10d2845c1679e67bd34ff2f6b7edb
监管总局_保险业经营情况表_2025-03.xlsx,金融监管总局月度经营数据,11834,5bf4cd89239376f8d6c7581af9f9aa228979d30720e83584c77b21e194f67cac
监管总局_保险业经营情况表_2025-04.xls,金融监管总局月度经营数据,18944,feb27407dc4743b12e09e264687ae32ba2f50cc49ec24b5a9dd20d7ab8fee252
监管总局_保险业经营情况表_2025-05.xls,金融监管总局月度经营数据,18432,52584edb614eb84798f1123e6cb364b780349f32e1a6180f24a122132bc14821
监管总局_保险业经营情况表_2025-06.xls,金融监管总局月度经营数据,18432,7d5543f0f2e70e0d54b4baebf0ce896e78eabf0cff792ae041937e034141f6c3
监管总局_保险业经营情况表_2025-07.xls,金融监管总局月度经营数据,18432,95c16b6bdd801ada4a846baf915f6b23de3796025cb13f9d3a42083d1939e0b4
监管总局_保险业经营情况表_2025-08.xls,金融监管总局月度经营数据,18432,b6d2b42f4dabe97918fda1fcabe49c28705fe06aa59b7d5e16b1cc95d5d5d1fd
监管总局_保险业经营情况表_2025-09.xlsx,金融监管总局月度经营数据,11946,8d31e37dfeaff7a9a9cecf84d3e6ed427fc716fc6efb8337299c0110c143c9bb
监管总局_保险业经营情况表_2025-10.xls,金融监管总局月度经营数据,18432,bd51368e77eef2dbacfc4e97aa1ec3925d5eabbf09b4cc7af2b9c83601988859
监管总局_保险业经营情况表_2025-11.xls,金融监管总局月度经营数据,21504,e3b70dd53da4ebb969a2ad07b49c6d8c7658a49d594dde67ba83e763d4f3e970
监管总局_保险业经营情况表_2025-12.xls,金融监管总局月度经营数据,20992,5de64c3dce1d065110fef41e5ec76d096eaed9476c76f86136a93916312ff501
监管总局_保险业经营情况表_2026-01.xls,金融监管总局月度经营数据,21504,9a2114924fd5ad7c2ba84e90840139090fe86cffc2c2423f437ff21319dfe9e7
监管总局_保险业经营情况表_2026-02.xls,金融监管总局月度经营数据,21504,e39c9e333ba29faf9a969d6b3db6931569a136e696408dbd9bf6a6c8ee7648ac
监管总局_保险业经营情况表_2026-03.xls,金融监管总局月度经营数据,18432,18db2c1c4aba76a91352031cd0c3d3f34a49ecc89a7c8b85967d400636a625fb
监管总局_保险业经营情况表_2026-04.xls,金融监管总局月度经营数据,20992,e86748600252c1485f2602193f1b60e6201b62d10c4d1987886496bed0569465
监管总局_保险业经营情况表_2026-05.xls,金融监管总局月度经营数据,17920,fd59d20ff35f013ba2954475b61e66bb2c6c82b10011cf9ff5407ec507ff4360
监管总局_保险业经营情况表_2026-06.xls,金融监管总局月度经营数据,17920,97be7bfdd8e0e181b58d8f25033ee696a4307118470ea61066ad27d9a97f2f15
